Wandb initialized successfully.
/models/Final_project/Final-Project/gobang/utils.py:350: UserWarning: Creating a tensor from a list of numpy.ndarrays is extremely slow. Please consider converting the list to a single numpy.ndarray with numpy.array() before converting to a tensor. (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:253.)
  states = torch.tensor(states).to(torch.float32).to(device)
/models/Final_project/Final-Project/gobang/utils.py:360: UserWarning: Converting a tensor with requires_grad=True to a scalar may lead to unexpected behavior.
Consider using tensor.detach() first. (Triggered internally at /pytorch/torch/csrc/autograd/generated/python_variable_methods.cpp:836.)
  float(torch.mean(torch.sum(policy * torch.log(policy + 1e-6), dim=1)))
  File "/opt/conda/lib/python3.12/site-packages/matplotlib/figure.py", line 3257, in draw
    mimage._draw_list_compositing_images(
  File "/opt/conda/lib/python3.12/site-packages/matplotlib/image.py", line 134, in _draw_list_compositing_images
    a.draw(renderer)
  File "/opt/conda/lib/python3.12/site-packages/matplotlib/artist.py", line 71, in draw_wrapper
    return draw(artist, renderer)
           ^^^^^^^^^^^^^^^^^^^^^^
  File "/opt/conda/lib/python3.12/site-packages/matplotlib/axes/_base.py", line 3226, in draw
    mimage._draw_list_compositing_images(
  File "/opt/conda/lib/python3.12/site-packages/matplotlib/image.py", line 134, in _draw_list_compositing_images
    a.draw(renderer)
  File "/opt/conda/lib/python3.12/site-packages/matplotlib/artist.py", line 71, in draw_wrapper
    return draw(artist, renderer)
           ^^^^^^^^^^^^^^^^^^^^^^
  File "/opt/conda/lib/python3.12/site-packages/matplotlib/lines.py", line 821, in draw
    renderer.draw_path(gc, tpath, affine.frozen())
  File "/opt/conda/lib/python3.12/site-packages/matplotlib/backends/backend_agg.py", line 130, in draw_path
    self._renderer.draw_path(gc, path, transform, rgbFace)
KeyboardInterrupt
